Time,AvgFPS,1%low
9.159809,0,0
9.167896,0,0
9.177254,0,0
9.18507,0,0
9.194057,0,0
9.201795,0,0
9.211501,0,0
9.220305,0,0
9.230263,0,0
9.238438,0,0
9.246783,0,0
9.258749,0,0
9.26754,0,0
9.277211,0,0
9.28497,0,0
9.294456,0,0
9.30283,0,0
9.311678,0,0
9.319851,0,0
9.328734,0,0
9.337399,0,0
9.345604,0,0
9.353479,0,0
9.362198,0,0
9.371181,0,0
9.379243,0,0
9.387537,0,0
9.398644,0,0
9.406586,0,0
9.41565,0,0
9.423774,0,0
9.432624,0,0
9.440229,0,0
9.449361,0,0
9.457392,0,0
9.465463,0,0
9.474852,0,0
9.4832,0,0
9.491746,0,0
9.499808,0,0
9.507926,0,0
9.516527,0,0
9.524107,0,0
9.533264,0,0
9.541059,0,0
9.549127,0,0
9.55778,0,0
9.565491,0,0
9.573956,0,0
9.58211,0,0
9.590402,0,0
9.598555,0,0
9.606628,0,0
9.615404,0,0
9.622914,0,0
9.631886,0,0
9.639662,0,0
9.647355,0,0
9.65576,0,0
9.663385,0,0
9.671662,0,0
9.680766,0,0
9.689505,0,0
9.697868,0,0
9.705891,0,0
9.714795,0,0
9.722807,0,0
9.73089,0,0
9.73873,0,0
9.747288,0,0
9.75613,0,0
9.764506,0,0
9.772946,0,0
9.780789,0,0
9.789102,0,0
9.79672,0,0
9.804296,0,0
9.81276,0,0
9.820141,0,0
9.828403,0,0
9.836541,0,0
9.844169,0,0
9.852537,0,0
9.860665,0,0
9.868287,0,0
9.876286,0,0
9.88398,0,0
9.892869,0,0
9.900456,0,0
9.909809,0,0
9.917221,0,0
9.924856,0,0
9.933969,0,0
9.941607,0,0
9.95049,0,0
9.958899,0,0
9.966792,0,0
9.97568,0,0
9.98447,0,0
9.993902,0,0
10.00191,0,0
10.01061,0,0
10.01849,0,0
10.02693,0,0
10.03623,0,0
10.04462,0,0
10.05406,0,0
10.06169,0,0
10.07032,0,0
10.07793,0,0
10.08597,0,0
10.09457,0,0
10.10208,0,0
10.11093,0,0
10.11937,0,0
10.12733,0,0
10.136,0,0
10.14576,0,0
10.15494,0,0
10.16231,0,0
10.17047,0,0
10.18737,0,0
10.1978,0,0
10.20658,0,0
10.21513,0,0
10.22378,0,0
10.2323,0
